,81 con 9,81 con 27,81 con 81
0,-1.1677695418143559,-0.64152900202759,-0.7149828420345503
1,-0.7147709540044974,-0.9883106054946605,-0.35342387442934303
2,-0.005899376462740537,-0.4481958614752565,-0.3744515063711548
3,-2.6872776833875816,-0.9798859575233587,-1.1818208056546697
4,-1.6523510849162728,-0.23815768999922265,-0.6850618267097254
5,-1.4441483341982262,0.011967331928809133,-0.4660008181499627
6,-0.8247753163737797,-1.3647412798380412,-0.48843781070701237
7,-0.29250031122129927,-0.25281469813245755,-0.32255911584983904
8,-0.7254289119187081,-2.284044309830446,-0.7073184619912339
9,-2.075695167017676,-0.3803199695072511,0.07019669729492962
10,-0.3549013434302189,-0.797293847219354,-0.2615268136364904
11,0.06280836634638923,-1.3679649541349337,-1.8541384935596223
12,-0.06809400817627136,-0.47288288250231025,-0.08714247485571283
13,-0.9280584332220638,-0.8493943311412221,0.010981241123549286
14,0.0377112702319068,-0.3426097883504376,-2.0603180847145395
15,-3.056672654307425,-0.8895130695333681,-0.6289329513742733
16,0.0006301249208254471,-1.8856227860911694,-0.20089395864109552
17,-1.0285152409403908,-3.1716550221268327,-0.23383899740362057
18,-2.7383489452909333,-1.1271613863295011,0.05857332353087433
19,-0.7248769700847347,-1.8211849278535912,-0.8968387771871437
20,-0.7090773900771193,-1.6136164360110112,-1.0401450752351802
21,-1.5928787299317952,-1.7044610891404526,-1.3993037195270417
22,-1.2282749998105353,0.05908423313834927,-0.47783291286653634
23,-0.586400030328999,-0.012164232039274902,-0.799789728205598
24,-0.8485437191314197,-0.5299331735664271,-0.18797016003847208
25,0.011641147159441043,-1.183643292779091,-0.9262419606290526
26,-1.336913576363545,-1.4249930232761656,-0.11095367972787396
27,-0.21421037516643082,-0.031171868892930304,-0.6532263942539618
28,-0.5524372182871536,-0.2335910221472803,-0.1795912431493631
29,-0.24846239161240477,-0.05851148552337084,-2.7240040131180465
30,-2.026239495375343,0.00033754273642697303,-0.05042099914047048
31,-1.921616686775029,0.01434055606016822,-0.38880438218646013
32,-0.040307692645480675,-0.03173714001665769,-1.7630091444831608
33,-1.9345805761544836,-0.44850467369419034,-0.27949601521808565
34,-1.2533732292461401,-0.0006661545430702157,-0.7773903590703758
35,0.007200859385551486,-2.413383401114922,-0.17977187082417545
36,-0.3467304321570632,-1.2504852558219792,-1.8570053474849169
37,-0.0687221267270859,-0.45649522258652164,-0.09604966358543796
38,-1.2547285131447783,-0.7798215771878917,-0.561647725524984
39,-0.4664794469909829,-0.713807820563409,-1.1530921097209152
40,-0.2516290795141656,-1.967976978493624,-1.2407372920632664
41,0.06771327295358176,-1.7445781791408763,-2.091661505679296
42,-0.12663484890271534,0.05507900805981919,-0.05303920586853603
43,-0.5941303209884286,-0.207602579234653,-0.02842226569432119
44,-0.8017941951702708,-1.1358568882628202,-0.8210980699229087
45,-1.4627332261310684,-0.394600642785266,-0.16378140035165928
46,-0.8608255373099742,-0.17794289701440807,-2.6064099325152874
47,-0.37208493537749393,-2.2856313102341024,-1.3169923570616728
48,-0.6245014090955728,-1.3925248450917036,-0.09456526191257562
49,-1.1350870509702773,-0.5118899803744235,-1.3766535807962939
50,-1.8599106390015543,-1.7094304033203616,-1.1026309473358902
51,-0.7972630119181484,-0.34559718208204687,-1.2306772627577458
52,-1.8085678110753944,-0.19144282432637982,-0.5147979934420289
53,-0.9375725843720416,-0.17382004221130104,0.07217501136462103
54,-1.6242014192424032,-0.27544745892379413,-1.0759559429223706
55,-1.6057621924748562,-0.49284582559975365,-0.9167700774965223
56,-1.1905124866034862,-0.6859972380123299,-1.1197847931368066
57,-0.7077920358003444,-0.2540641135975763,-0.8092343960300674
58,-0.4060974878701605,-1.6784881207123283,-0.2686355013255188
59,-1.4537948500686215,0.016938635627281,-1.012799637164489
60,-0.4698464160752755,-0.9293156552232102,-1.722132494104363
61,-0.9659022863505333,-0.7816380142985111,-0.31842300298005644
62,-0.5141467194781353,-0.11859160202103695,-1.5152660488538159
63,-0.8946626444739169,-1.410020349657001,-1.0260119530737224
64,-0.8513919531181997,-2.8537231075910743,-0.059581930131452146
65,-0.04378750866638124,-0.22315840679910934,-1.063094673289216
66,-1.7732777334165406,-1.07136078153772,0.015645831327335984
67,-0.14599901149917668,-2.23709190991667,-1.4071432529161745
68,-0.36325794227356506,-0.3886027033117867,-2.0395465229829575
69,-2.246203739784691,-1.6483369035247655,-0.32248931064814096
70,-1.135279575366725,-0.8531846081065195,-0.4793690902225289
71,-0.6433749633163696,-0.07328229337434734,-2.514594695240433
72,-0.26254107480745875,-0.7260467062689842,-2.398391426892174
73,-1.67011928531097,0.0011802956366683004,-0.5586634962589608
74,-0.5387841647223041,-2.510215790059847,-1.387787239568911
75,-0.21557128756252708,-0.2761466549996176,-0.6023533084459117
76,-0.06671524374834605,-1.665836109967168,-0.19095920002089917
77,-1.7624241852559022,-0.2554230394325844,-0.13006057456996725
78,-0.555189880052535,-1.2021396267556856,-1.290035785841745
79,-0.15814636397947174,-0.4526402786898228,-0.1677232645686223
80,-1.3372603970366084,-0.40679248788102446,-0.22364547730323314
